id,Expenditure,N
116,Bread.and.Cereals.Expenditure,33901
116,Total.Rice.Expenditure,30965
116,Meat.Expenditure,12844
116,Total.Fish.and..marine.products.Expenditure,10385
116,Fruit.Expenditure,2700
116,Vegetables.Expenditure,6415
117,Bread.and.Cereals.Expenditure,37739
117,Total.Rice.Expenditure,34370
117,Meat.Expenditure,10316
117,Total.Fish.and..marine.products.Expenditure,14181
117,Fruit.Expenditure,2275
117,Vegetables.Expenditure,4505
118,Bread.and.Cereals.Expenditure,9651
118,Total.Rice.Expenditure,8999
118,Meat.Expenditure,1135
118,Total.Fish.and..marine.products.Expenditure,4025
118,Fruit.Expenditure,560
118,Vegetables.Expenditure,2785
119,Bread.and.Cereals.Expenditure,22346
119,Total.Rice.Expenditure,19146
119,Meat.Expenditure,10386
119,Total.Fish.and..marine.products.Expenditure,7363
119,Fruit.Expenditure,2480
119,Vegetables.Expenditure,5870
120,Bread.and.Cereals.Expenditure,45820
120,Total.Rice.Expenditure,41008
120,Meat.Expenditure,7588
120,Total.Fish.and..marine.products.Expenditure,10203
120,Fruit.Expenditure,1505
120,Vegetables.Expenditure,7200
121,Bread.and.Cereals.Expenditure,23324
121,Total.Rice.Expenditure,18728
121,Meat.Expenditure,14388
121,Total.Fish.and..marine.products.Expenditure,10365
121,Fruit.Expenditure,2960
121,Vegetables.Expenditure,5145
122,Bread.and.Cereals.Expenditure,28491
122,Total.Rice.Expenditure,22467
122,Meat.Expenditure,15294
122,Total.Fish.and..marine.products.Expenditure,10315
122,Fruit.Expenditure,2510
122,Vegetables.Expenditure,9655
123,Bread.and.Cereals.Expenditure,19355
123,Total.Rice.Expenditure,14107
123,Meat.Expenditure,15714
123,Total.Fish.and..marine.products.Expenditure,7631
123,Fruit.Expenditure,3380
123,Vegetables.Expenditure,6000
124,Bread.and.Cereals.Expenditure,35859
124,Total.Rice.Expenditure,27763
